family,model,r2_mean
labelled,BeamK30_ResidualMLP,0.6242237165570259
labelled,BeamK30_Polynomial,0.613638256986936
labelled,BeamK30_MLP,0.6029771963755289
hybrid,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.5975666493177414
hybrid,Hybrid_BeamK30_SSL_CrossGatedDCNHead,0.5886599992712339
labelled,BeamK30_KAN,0.5882229134440422
hybrid,Hybrid_BeamK30_SSL_CrossGatedFusion,0.5832774639129639
hybrid,Hybrid_BeamK30_SSL_CrossGatedBilinearFusion,0.5789704819520315
hybrid,Hybrid_BeamK30_SSL_CrossGatedHypernetworkHead,0.5774234731992086
hybrid,Hybrid_BeamK30_SSL_CrossGatedPolynomialHead,0.5748984764019648
hybrid,Hybrid_BeamK30_SSL_CrossGatedMultiScaleHead,0.5712398489316304
hybrid,Hybrid_BeamK30_SSL_CrossGatedSparseMoEHead,0.569541002313296
hybrid,Hybrid_BeamK30_SSL_CrossGatedHighwayHead,0.5683184737960497
labelled,BeamK30_DCN,0.4997798676292102
labelled,BeamK30_NAM,0.4144814908504486
