dataset,total_rows,train_rows,test_rows,cab_labels,cw_labels,cm_labels,LAI_labels,cp_labels,cbc_labels,car_labels,anth_labels
4,549,439,110,167,167,167,0,167,167,167,0
5,479,383,96,0,43,43,0,41,41,0,0
2,363,290,73,362,360,360,363,0,0,362,362
13,330,264,66,0,330,330,246,330,330,0,0
12,304,243,61,0,0,304,0,0,0,0,0
15,304,243,61,0,0,304,0,304,304,0,0
37,181,145,36,180,122,181,0,178,178,180,0
9,177,142,35,0,0,168,0,149,149,0,0
35,176,141,35,149,170,172,0,171,171,147,0
11,174,139,35,0,0,92,0,91,91,0,0
29,173,139,34,0,0,0,158,0,0,0,0
47,165,132,33,165,165,165,0,165,165,165,0
20,147,118,29,0,0,0,24,0,0,0,0
6,129,103,26,0,0,128,0,128,128,0,0
21,127,102,25,0,0,0,28,0,0,0,0
34,114,91,23,112,114,114,0,110,110,107,0
41,96,77,19,75,59,95,0,95,95,75,0
16,96,77,19,0,0,0,93,0,0,0,0
48,95,76,19,0,0,76,0,70,70,0,0
22,95,76,19,92,0,0,91,0,0,0,0
49,94,75,19,0,0,94,0,0,0,0,0
19,91,73,18,91,0,0,91,0,0,0,0
26,90,72,18,0,76,80,90,80,80,0,0
31,89,71,18,89,89,89,0,87,87,88,0
27,80,64,16,0,0,80,0,80,80,0,0
40,76,61,15,39,76,76,0,76,76,39,0
1,73,58,15,73,73,73,0,73,73,0,0
17,70,56,14,0,0,59,0,0,0,0,0
42,63,51,12,25,0,63,0,63,63,25,0
28,60,48,12,60,60,0,60,0,0,60,0
38,59,47,12,59,55,59,0,58,58,59,0
14,59,47,12,0,0,59,0,0,0,0,0
36,53,42,11,53,53,53,0,53,53,51,0
25,50,40,10,0,0,0,48,0,0,0,0
44,45,36,9,40,0,0,45,0,0,0,0
8,43,34,9,0,0,18,0,18,18,17,0
39,38,30,8,20,38,38,0,37,37,20,0
7,35,28,7,21,21,31,0,27,27,21,0
18,32,26,6,32,0,0,32,0,0,0,0
30,29,23,6,21,29,29,0,28,28,21,0
46,28,23,5,24,0,0,24,0,0,0,0
33,26,21,5,24,0,26,0,26,26,24,0
43,24,19,5,0,0,0,24,0,0,0,0
10,22,18,4,0,0,22,0,22,22,0,0
23,18,14,4,18,0,18,18,17,17,18,0
24,14,11,3,14,0,14,14,14,14,14,0
