model,target,train_rows,test_rows,bands,rmse,mae,r2,rpd,train_seconds,predict_seconds
Ridge,cab,1609,396,1721,9.210225965148824,6.959131717681885,0.5385874509811401,1.4740233421325684,0.2361204000008001,0.004470300000321
PLSR_20,cab,1609,396,1721,9.264249749502618,7.037176889587097,0.5331586901444806,1.4654276371002195,1.3588935999996463,0.0180777000005036
ElasticNet,cab,1609,396,1721,9.283745735180831,7.0203070640563965,0.5311917066574097,1.4623502492904663,10.034841400000005,0.0044274999982008
XGBoost,cab,1609,396,1721,9.448860656841244,6.907617568969727,0.5143675804138184,1.4367961883544922,32.94692230000146,0.008303499998874
RandomForest,cab,1609,396,1721,9.54067204165977,6.969095348855926,0.5048842922388896,1.4229696989059448,58.70046709999952,0.4239995999996608
SVR_RBF,cab,1609,396,1721,9.593524849531205,6.992006200888631,0.4993834768078958,1.4151302576065063,2.449300800000856,0.7648149999986344
MLP,cab,1609,396,1721,11.314640411718102,7.794516086578369,0.3036456108093261,1.199869155883789,20.42788739999924,0.0061212999971758
XGBoost,cm,2944,736,1721,0.0041189574619447,0.0024912622757256,0.5775256752967834,1.539554476737976,38.02451699999801,0.0090348000012454
RandomForest,cm,2944,736,1721,0.0043314693138201,0.0024394821668834,0.5328071344218074,1.4640203714370728,138.99240780000036,0.2141977999999653
Ridge,cm,2944,736,1721,0.0043629790126601,0.0030430646147578,0.5259851217269897,1.4534472227096558,0.262704600001598,0.0072378999975626
PLSR_20,cm,2944,736,1721,0.0044293041449586,0.0031311753573041,0.5114638295426066,1.43168306350708,1.7292195000009087,0.0224435999989509
ElasticNet,cm,2944,736,1721,0.0054020529569168,0.0037257850635796,0.2733197212219238,1.173879623413086,6.477263000000676,0.007682500003284
MLP,cm,2944,736,1721,0.0247906594990542,0.0184155832976102,-14.303892135620115,0.2557963132858276,31.419599000000744,0.011357900002622
SVR_RBF,cm,2944,736,1721,0.0252897672677344,0.0246195967248999,-14.92631801964283,0.2507480382919311,0.2382015000002866,0.0130403000002843
XGBoost,cw,1676,424,1721,0.0060674459870698,0.0039179595187306,0.5442371368408203,1.4830071926116943,39.55739529999846,0.3753042999996978
RandomForest,cw,1676,424,1721,0.0062797605203467,0.0040097709265228,0.5117825844224655,1.4328677654266355,66.23531399999774,0.3922605999978259
PLSR_20,cw,1676,424,1721,0.0066477567714567,0.0046665634082542,0.4528866081903174,1.353549242019653,0.951037400001951,0.0094038000024738
Ridge,cw,1676,424,1721,0.0066719594989248,0.0046419850550591,0.448895514011383,1.3486392498016355,0.2006460999982664,0.0042133999995712
ElasticNet,cw,1676,424,1721,0.0076443249523428,0.0054696924053132,0.2765551805496216,1.1770910024642944,1.877901899999415,0.0044588999990082
SVR_RBF,cw,1676,424,1721,0.0278979761610418,0.0266582703521669,-8.63546106257839,0.3225347399711609,0.1751545000006444,0.0075634999993781
MLP,cw,1676,424,1721,0.0341843210213154,0.0245317909866571,-13.467084884643556,0.2632220089435577,19.512638600001083,0.0062953000015113
