target,rank,wavelength_nm,region,region_interpretation
cab,1,1350.0,swir_water_1450_region,around 1450 nm water absorption region
cab,2,424.0,blue_visible_pigment,blue visible pigment absorption; chlorophyll/carotenoid sensitivity
cab,3,547.0,green_visible_pigment,green visible reflectance; pigment balance and leaf color response
cab,4,817.0,nir_leaf_structure,near-infrared scattering; leaf/canopy internal structure
cab,5,739.0,red_edge_chlorophyll_structure,red-edge transition; chlorophyll and canopy/leaf structure
cab,6,882.0,nir_leaf_structure,near-infrared scattering; leaf/canopy internal structure
cab,7,841.0,nir_leaf_structure,near-infrared scattering; leaf/canopy internal structure
cab,8,649.0,red_chlorophyll_absorption,red chlorophyll absorption zone
cab,9,683.0,red_chlorophyll_absorption,red chlorophyll absorption zone
cab,10,954.0,nir_leaf_structure,near-infrared scattering; leaf/canopy internal structure
cab,11,1129.0,nir_swir_structure_water,NIR/SWIR transition; structure and water-sensitive continuum
cab,12,1459.0,swir_water_1450_region,around 1450 nm water absorption region
cab,13,1264.0,nir_swir_structure_water,NIR/SWIR transition; structure and water-sensitive continuum
cab,14,1198.0,nir_swir_structure_water,NIR/SWIR transition; structure and water-sensitive continuum
cab,15,641.0,red_chlorophyll_absorption,red chlorophyll absorption zone
cab,16,618.0,yellow_orange_visible,yellow/orange visible transition; pigment shoulder region
cab,17,1170.0,nir_swir_structure_water,NIR/SWIR transition; structure and water-sensitive continuum
cab,18,716.0,red_edge_chlorophyll_structure,red-edge transition; chlorophyll and canopy/leaf structure
cab,19,697.0,red_edge_chlorophyll_structure,red-edge transition; chlorophyll and canopy/leaf structure
cab,20,612.0,yellow_orange_visible,yellow/orange visible transition; pigment shoulder region
cab,21,637.0,red_chlorophyll_absorption,red chlorophyll absorption zone
cab,22,710.0,red_edge_chlorophyll_structure,red-edge transition; chlorophyll and canopy/leaf structure
cab,23,1487.0,swir_water_1450_region,around 1450 nm water absorption region
cab,24,1444.0,swir_water_1450_region,around 1450 nm water absorption region
cab,25,715.0,red_edge_chlorophyll_structure,red-edge transition; chlorophyll and canopy/leaf structure
