model,label_percent,mean_delta_vs_residual,traits_hybrid_better,traits_total
Hybrid_BeamK30_SSL_CrossGatedDCNHead,1,-0.1023274213075637,1,8
Hybrid_BeamK30_SSL_CrossGatedDCNHead,5,-0.1051996573805809,1,8
Hybrid_BeamK30_SSL_CrossGatedDCNHead,10,-0.07181461403767267,0,8
Hybrid_BeamK30_SSL_CrossGatedDCNHead,25,-0.07649830728769302,0,8
Hybrid_BeamK30_SSL_CrossGatedDCNHead,50,-0.045202841361363745,1,8
Hybrid_BeamK30_SSL_CrossGatedDCNHead,100,-0.05235931525627769,1,8
Hybrid_BeamK30_SSL_CrossGatedFusion,1,-0.19871414949496585,0,8
Hybrid_BeamK30_SSL_CrossGatedFusion,5,-0.05793951203425726,3,8
Hybrid_BeamK30_SSL_CrossGatedFusion,10,-0.04592901716629664,2,8
Hybrid_BeamK30_SSL_CrossGatedFusion,25,-0.05554431428511937,1,8
Hybrid_BeamK30_SSL_CrossGatedFusion,50,-0.029820799827575684,1,8
Hybrid_BeamK30_SSL_CrossGatedFusion,100,-0.04439647247393924,1,8
Hybrid_BeamK30_SSL_CrossGatedNAMHead,1,-0.11426474899053571,1,8
Hybrid_BeamK30_SSL_CrossGatedNAMHead,5,-0.029379263520240805,3,8
Hybrid_BeamK30_SSL_CrossGatedNAMHead,10,-0.05128972729047139,2,8
Hybrid_BeamK30_SSL_CrossGatedNAMHead,25,-0.03736395388841629,1,8
Hybrid_BeamK30_SSL_CrossGatedNAMHead,50,-0.014681177834669781,2,8
Hybrid_BeamK30_SSL_CrossGatedNAMHead,100,-0.02319041391213733,1,8
