target,label_percent,model,r2_mean,rmse_mean
LAI,1,BeamK30_ResidualMLP,0.0160044034322102,1.7494448449380489
LAI,5,BeamK30_ResidualMLP,0.1406591335932413,1.6329954878809676
LAI,10,Hybrid_BeamK30_SSL_CrossGatedFusion,0.2289037307103475,1.549743615907335
LAI,25,Hybrid_BeamK30_SSL_CrossGatedFusion,0.3864618341128031,1.3822638586503586
LAI,50,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.5023513237635294,1.245997508239678
LAI,100,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.6075694759686788,1.1065118051866965
anth,1,BeamK30_ResidualMLP,-0.2468169530232747,0.481642004740922
anth,5,Hybrid_BeamK30_SSL_CrossGatedNAMHead,-0.0441776315371195,0.4417456179978032
anth,10,BeamK30_ResidualMLP,0.1352493564287821,0.4021325794806252
anth,25,BeamK30_ResidualMLP,0.3026471535364787,0.3607891025191602
anth,50,BeamK30_ResidualMLP,0.4286442995071411,0.3259347985873266
anth,100,BeamK30_ResidualMLP,0.6130684614181519,0.2681015503768436
cab,1,Hybrid_BeamK30_SSL_CrossGatedNAMHead,-0.1148009498914082,14.284092203420334
cab,5,BeamK30_ResidualMLP,0.3522870937983195,10.911934806456609
cab,10,BeamK30_ResidualMLP,0.3448634743690491,10.972428742312315
cab,25,BeamK30_ResidualMLP,0.4941643079121907,9.642801199498487
cab,50,BeamK30_ResidualMLP,0.5216081341107687,9.378071693463836
cab,100,BeamK30_ResidualMLP,0.5808148185412089,8.777826821795509
car,1,BeamK30_ResidualMLP,0.0336917440096537,2.810685921522205
car,5,BeamK30_ResidualMLP,0.2172162930170695,2.5315710221979857
car,10,BeamK30_ResidualMLP,0.2570602695147196,2.4643316316854573
car,25,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.3911477128664652,2.233306290891929
car,50,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.4521007140477498,2.1187545748091474
car,100,BeamK30_ResidualMLP,0.5364795724550883,1.9475995330518612
cbc,1,BeamK30_ResidualMLP,0.1769479711850484,0.0057792754964129
cbc,5,Hybrid_BeamK30_SSL_CrossGatedFusion,0.2092953523000081,0.0056684998145198
cbc,10,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.3270392417907715,0.0052398431587547
cbc,25,BeamK30_ResidualMLP,0.6281255880991617,0.0038926646384385
cbc,50,BeamK30_ResidualMLP,0.640241007010142,0.0038310908184575
cbc,100,BeamK30_ResidualMLP,0.7130427757898966,0.0034216816824076
cm,1,BeamK30_ResidualMLP,-0.0780582626660664,0.0065664506945026
cm,5,BeamK30_ResidualMLP,0.4335156679153442,0.0047558746826907
cm,10,BeamK30_ResidualMLP,0.53131236632665,0.0043357235580137
cm,25,BeamK30_ResidualMLP,0.5946903626124064,0.0040341728071715
cm,50,BeamK30_ResidualMLP,0.6497582991917928,0.0037499764045291
cm,100,BeamK30_ResidualMLP,0.6777450640996298,0.0035948141859931
cp,1,BeamK30_ResidualMLP,0.0572359760602315,0.0004276953966316
cp,5,BeamK30_ResidualMLP,0.2268512447675069,0.0003874839468178
cp,10,Hybrid_BeamK30_SSL_CrossGatedFusion,0.2866850296656291,0.0003722694381219
cp,25,BeamK30_ResidualMLP,0.5612093806266785,0.0002919066078974
cp,50,BeamK30_ResidualMLP,0.5839193065961202,0.0002841860890605
cp,100,BeamK30_ResidualMLP,0.6512976884841919,0.0002602359973197
cw,1,BeamK30_ResidualMLP,0.049859881401062,0.0087450304178504
cw,5,Hybrid_BeamK30_SSL_CrossGatedFusion,0.1712052226066589,0.0081716191992258
cw,10,BeamK30_ResidualMLP,0.427817424138387,0.0067983158718116
cw,25,BeamK30_ResidualMLP,0.5697862505912781,0.0058899235689515
cw,50,BeamK30_ResidualMLP,0.5917548735936483,0.0057403470587425
cw,100,BeamK30_ResidualMLP,0.6543421546618143,0.0052835768072198
