target,family,fusion_method,model,model_key,budget,beam_bands,ssl_embedding_dim,features,comment,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,rpd_mean,rpd_std,train_seconds_mean,best_epoch_mean
LAI,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,1.121273368699316,0.0346507149410267,0.830625037352244,0.0207445037818742,0.5967841148376465,0.0249503042823166,1.5791051387786863,0.0486496129950518,4.916167868333332,117.66666666666669
LAI,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,1.1312235826291284,0.035378231010498,0.8297239740689596,0.0426793431544484,0.5895897746086121,0.0258299782265112,1.565229098002116,0.0483002492909516,6.366844295000003,144.33333333333334
LAI,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,1.1385820621371454,0.0258190488558595,0.8173832694689432,0.0297509898298325,0.5843615333239237,0.0188249058293324,1.5546468496322632,0.0353358365065373,10.131127968666684,385.3333333333333
LAI,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,1.1662533000713509,0.0383914726971922,0.8521712819735209,0.0317919441592082,0.5637478431065878,0.0289481055171769,1.5183173020680745,0.0491402883644439,6.64438826033332,220.33333333333331
LAI,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,1.2166275014776422,0.0123509269864047,0.9039455850919088,0.0103350200756564,0.5255578358968099,0.009660328716153,1.4545172850290935,0.0146802885545034,5.249462429000005,227.33333333333331
LAI,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,1.338444032130638,0.0129643741898703,1.0504051844278972,0.021757859874961,0.4257965882619222,0.0110937080849793,1.3221293687820437,0.0128740920985257,6.684011102666621,305.3333333333333
anth,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,0.2643474054894283,0.0237042724632876,0.1913015941778818,0.0053970348244538,0.6243601044019064,0.0681739004140126,1.655884822209676,0.1438762305353434,1.3353312313333845,153.33333333333334
anth,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,0.30224334635211,0.0081235742100389,0.201573962966601,0.0086747302776084,0.5113224784533182,0.0264223504325853,1.4414353370666504,0.0382638581944814,2.5688156696667197,229.0
anth,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,0.3133524456266138,0.0277315595379808,0.2148092339436213,0.0160717653690747,0.4722506999969482,0.0911285692391783,1.3972715934117634,0.1288775483293898,1.153755155333253,110.0
anth,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,0.3204742884395393,0.0155550082364348,0.206427792708079,0.0184089961562277,0.4499936501185099,0.053139339044904,1.3609423637390137,0.0665638852108605,0.9431588266667555,57.0
anth,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,0.3462149104545018,0.0053408506477722,0.2147434999545415,0.0039158430736078,0.358996828397115,0.019795710700587,1.257964293162028,0.0193651015945059,0.9767441203333268,129.66666666666666
anth,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,0.408740320072047,0.0197820234936192,0.3113542199134826,0.0074803655916156,0.1053104996681213,0.0873792788685048,1.066995898882548,0.0506024906257254,0.9676796669999324,129.0
cab,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,8.867026964020024,0.1566946540519331,6.28633991877238,0.105380299067711,0.5722448627154032,0.0150400334744176,1.531397541364034,0.0273340691787115,5.743546907666674,114.33333333333331
cab,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,8.906449250110223,0.3351838198948334,6.2561953862508135,0.3497863946858722,0.568115254243215,0.0321262689065274,1.525770902633667,0.0586863241194978,6.031026803333323,128.66666666666666
cab,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,8.937446047808821,0.0499562859683006,6.4155473709106445,0.0843206854865772,0.5655050675074259,0.0048583363235227,1.5190436840057373,0.0084870056773988,7.834850388000025,121.0
cab,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,8.969991610572654,0.14600085652808,6.425611972808838,0.150314167966979,0.5622667074203491,0.0142972917166589,1.513766090075175,0.0244681004047465,4.376551271666661,55.66666666666666
cab,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,9.215521254906024,0.1038475742526997,6.802713553110759,0.1930721780967218,0.5380176703135172,0.0103790239493275,1.473301847775777,0.0167052150704497,5.338963621999976,142.66666666666666
cab,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,11.216444827499808,0.0589167391089419,8.616299947102865,0.0999308365794278,0.3156673908233642,0.0071833320813692,1.2103958527247112,0.0063679868389199,5.399475144666667,147.66666666666666
car,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,1.944595610399075,0.0373800659593525,1.3470993041992188,0.0453017072959036,0.5387084285418192,0.0177644078913974,1.475167989730835,0.0282522868556885,6.0862764283332735,107.0
car,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,1.956049304625786,0.0134829985680319,1.3740431865056355,0.0424437731132631,0.5333585739135742,0.0064223220979727,1.4662168820699055,0.0101400949456418,3.8292648813333017,82.33333333333333
car,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,1.969132549293714,0.0775527374577945,1.370120843251546,0.0641775862620232,0.5266213019688925,0.0376482767534058,1.457904815673828,0.0562183077233644,3.53415679533335,51.333333333333336
car,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,2.031009860984431,0.0618767368124904,1.4334689776102705,0.0354422938837439,0.4966122309366862,0.0306361158702041,1.4129324356714883,0.043118354271864,3.991589689333296,96.66666666666669
car,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,2.0483209309706325,0.108596162001393,1.4209653933842976,0.0753836163708702,0.4873523116111755,0.0536219329483473,1.4028159777323406,0.07620587008658,4.274119414000022,137.66666666666666
car,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,2.292849690704024,0.1129704243333209,1.6653364102045696,0.090053705125433,0.3578101992607116,0.0640073991355871,1.2527782122294109,0.0601633582823351,5.615840635333295,205.33333333333331
cbc,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,0.0034323210149548,8.383489640885307e-05,0.0021070366880546,5.114631401568088e-05,0.7111464937527975,0.0140527595245544,1.8634305795033768,0.0458657106663903,9.902406714333324,182.33333333333331
cbc,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,0.0035377296630999,5.30077162687238e-05,0.0019997897713134,5.116199690348477e-05,0.6932083964347839,0.0092125551983232,1.8074534336725872,0.0269656035984685,14.262266074000005,267.0
cbc,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,0.0035572454048016,4.856023048163658e-05,0.0020679497004797,2.958960975566294e-05,0.6898221770922343,0.0084976163346955,1.797491232554118,0.0243645596015631,17.49520482833327,237.66666666666663
cbc,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,0.0036516721636565,9.38467270956858e-05,0.0021529403359939,5.513102907148432e-05,0.6730330189069113,0.0167745857318545,1.7515685160954793,0.0451598302429899,9.388397516000092,129.0
cbc,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,0.0037963950454842,5.630530832061189e-05,0.0022508052643388,3.728031060543261e-05,0.6467065016428629,0.0104418818361825,1.6843012968699138,0.025154965217938,10.431989442666614,248.0
cbc,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,0.0051466997443299,3.2456588531391484e-05,0.0031248349696397,6.162236130889388e-05,0.3507703741391499,0.0082029010804252,1.242251952489217,0.0078060982673093,10.511644857666624,253.66666666666663
cm,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,0.003607470751692,0.000192193842511,0.0022601267943779,0.0001110255000436,0.6753223737080892,0.0349663206388278,1.7610925038655598,0.0915634195441484,8.506073007000017,92.33333333333331
cm,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,0.0037033958059318,0.0001003957874768,0.0022751612123101,0.0001216348137442,0.6583049297332764,0.0183727405512056,1.7131620645523071,0.0471777535275169,8.953030359999994,93.0
cm,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,0.0037535081925607,7.006226057607613e-05,0.0023028076005478,8.851851861502931e-05,0.6490855018297831,0.0130767221588805,1.6898425022761028,0.0316470257665147,12.452882701333351,102.66666666666669
cm,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,0.0037594062961688,0.0001164906127712,0.0022636843690027,9.283415669623216e-05,0.647838274637858,0.0217511546433703,1.6878848473230998,0.0526142787051246,8.266005950333351,62.333333333333336
