target,method,budget,rmse,mae,r2,rpd,selected_wavelengths
cab,BeamSearch+PLSR,30,9.332314796845244,7.045063025235594,0.5262736632219264,1.454739689826965,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,612,637,710,1487,1444,715,616,1193,1188,548,698"
cab,EpsilonGreedyRL+PLSR,30,9.4709251317272,7.223357267958086,0.5120969005027942,1.4334489107131958,"553,437,1486,1446,540,1437,687,546,717,714,431,706,683,676,566,579,526,1503,1521,696,440,1476,703,1750,1484,595,571,549,436,438"
cab,Random+PLSR,30,9.649311456547494,7.357240838977935,0.4931670643241911,1.4079882383346558,random_repeat_mean
cab,AbsCorr+PLSR,30,9.66350338125214,7.286491067657699,0.4920534955687352,1.404882550239563,"700,699,701,698,702,555,556,697,557,554,558,553,559,703,552,560,561,551,696,562,550,563,704,549,564,565,548,695,566,705"
cab,MutualInfo+PLSR,20,9.799109484024529,7.469558034684858,0.4776976377313229,1.3854409456253052,"686,685,684,689,582,583,687,1431,581,578,1439,1432,688,1438,681,1433,579,580,682,577"
cab,Random+Ridge,30,9.991393696518404,7.6616750955581665,0.4565639048814773,1.3598563730716706,random_repeat_mean
cab,EpsilonGreedyRL+KAN,10,10.077412614114657,7.576009273529053,0.4476086497306824,1.347179889678955,"1347,432,546,1486,1444,1336,1481,675,678,706"
cab,MutualInfo+Ridge,30,12.085389552058304,9.704591751098633,0.2055435180664062,1.1233471632003784,"686,685,684,689,582,583,687,1431,581,578,1439,1432,688,1438,681,1433,579,580,682,577,1440,1434,683,1437,1483,584,1436,1435,576,1481"
cab,AbsCorr+Ridge,30,12.692752145663682,10.48355484008789,0.1236847043037414,1.0695937871932983,"700,699,701,698,702,555,556,697,557,554,558,553,559,703,552,560,561,551,696,562,550,563,704,549,564,565,548,695,566,705"
cm,BeamSearch+PLSR,30,0.0045398907862175,0.0031996712947352,0.4867646885767706,1.3968088626861572,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,514,2168,2166,2157,982,1670,1676,1740,1672,2176,1739,1645,1639"
cm,Random+PLSR,30,0.0046410958818964,0.0032751181333962,0.4633982664750068,1.3669148862361908,random_repeat_mean
cm,EpsilonGreedyRL+PLSR,20,0.0048541894672203,0.0034317096552558,0.4132418031710446,1.306368350982666,"1716,1573,1657,1560,1590,1696,2285,1655,1702,2327,2261,2319,2270,1621,1587,1565,1719,1739,1720,1594"
cm,Random+Ridge,30,0.0049478390627781,0.0034445954952389,0.3900163948535919,1.2824110090732574,random_repeat_mean
cm,AbsCorr+PLSR,30,0.0051745951778785,0.0036938458833362,0.3332262758589431,1.2254793643951416,"1715,1716,1714,1717,1718,1713,1712,1719,1711,1710,1709,1720,1708,1707,1721,1706,1722,1705,1723,1704,1724,1703,1725,1702,1726,1701,1727,1700,1728,1699"
cm,AbsCorr+Ridge,30,0.0057432015657497,0.0039679012261331,0.1786394715309143,1.104150652885437,"1715,1716,1714,1717,1718,1713,1712,1719,1711,1710,1709,1720,1708,1707,1721,1706,1722,1705,1723,1704,1724,1703,1725,1702,1726,1701,1727,1700,1728,1699"
cm,MutualInfo+PLSR,20,0.0059363828899542,0.0040015646158456,0.1224547345020867,1.0682194232940674,"2195,2194,2192,2193,2239,2196,2190,2238,2191,2237,2256,2240,2255,2257,2189,2236,2235,2241,2197,2234"
cm,MutualInfo+Ridge,30,0.0060186787312149,0.0040441476739943,0.0979552865028381,1.053613305091858,"2195,2194,2192,2193,2239,2196,2190,2238,2191,2237,2256,2240,2255,2257,2189,2236,2235,2241,2197,2234,2242,2245,2243,2244,2254,2258,2232,2253,2233,2188"
cw,BeamSearch+PLSR,30,0.0064647487855941,0.0045934019087563,0.4825952521917066,1.3918663263320925,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642,1593,1601,1646,1592,1596,1608,1648,1604,1607,1606"
cw,Random+PLSR,30,0.0068387539729518,0.0047923549019678,0.4207598313419344,1.3162832379341125,random_repeat_mean
cw,Random+Ridge,30,0.0073539279621221,0.0051246573450043,0.3297567009925842,1.2248641192913057,random_repeat_mean
cw,EpsilonGreedyRL+PLSR,20,0.0077043197386442,0.0055664274203124,0.2651550743745718,1.1679247617721558,"1599,1564,506,2287,1793,1569,653,1601,1583,1609,1616,1654,1608,1522,1591,1562,2349,2299,2302,2323"
cw,AbsCorr+PLSR,30,0.0078108172159779,0.0057982560292377,0.2446990121012546,1.1520006656646729,"1598,1597,1596,1599,1595,1594,1587,1586,1600,1593,1585,1588,1592,1589,1591,1590,1584,1601,1583,1602,1582,1603,1581,1604,1610,1609,1580,1611,1608,1605"
cw,MutualInfo+PLSR,20,0.0080764157919485,0.0061092970087874,0.1924592596372563,1.1141163110733032,"2275,2274,2276,2273,2278,2267,2277,2272,2279,2271,2270,2268,2269,1543,2266,2280,1544,1542,404,1546"
cw,AbsCorr+Ridge,30,0.0082119968950873,0.0062101269140839,0.1651187539100647,1.095721960067749,"1598,1597,1596,1599,1595,1594,1587,1586,1600,1593,1585,1588,1592,1589,1591,1590,1584,1601,1583,1602,1582,1603,1581,1604,1610,1609,1580,1611,1608,1605"
cw,MutualInfo+Ridge,10,0.0083523530558314,0.006261131260544,0.1363360285758972,1.0773091316223145,"2275,2274,2276,2273,2278,2267,2277,2272,2279,2271"
