model,target_calibration_percent,mean_r2,median_r2,rmse,rpd,traits_improved,n_evaluations
BeamK30 ResidualMLP,0,-0.5038646811530704,-0.1555756330490112,2.065085515338408,0.9636542147114164,0,105
BeamK30 ResidualMLP,5,-0.0556065496944245,0.0343706011772155,2.0133736610161925,1.056775144735972,5,105
BeamK30 ResidualMLP,10,0.1545761721474783,0.1241166591644287,1.8115154504551385,1.1434123572849093,7,105
BeamK30 ResidualMLP,20,0.2370823468480791,0.2254596352577209,1.7414757972691384,1.1948315200351534,7,105
BeamK30 ResidualMLP,30,0.2409123545601254,0.2351894974708557,1.761825175599773,1.1984887497765675,7,105
BeamK30 ResidualMLP,40,0.2548081454776582,0.2081696987152099,1.6836838045385434,1.210891052087148,7,105
BeamK30 ResidualMLP,50,0.249509470803397,0.2165444493293762,1.7174694363225664,1.2144195170629593,7,105
Hybrid Cross-Gated NAM,0,-0.5199965726761591,-0.046422004699707,2.052161026994767,0.9777368690286364,0,105
Hybrid Cross-Gated NAM,5,0.0271540494192214,0.0380032062530517,1.904425997728733,1.0909229136648633,6,105
Hybrid Cross-Gated NAM,10,0.1716630447478521,0.1912473440170288,1.7663871819200705,1.1526873668034872,7,105
Hybrid Cross-Gated NAM,20,0.2532139738400777,0.2596786618232727,1.7107020855081,1.2106894930203755,7,105
Hybrid Cross-Gated NAM,30,0.252463199978783,0.2569339275360107,1.7317739986482152,1.2092197736104329,7,105
Hybrid Cross-Gated NAM,40,0.2595034752573286,0.2655231952667236,1.662763466808992,1.2220986831755865,7,105
Hybrid Cross-Gated NAM,50,0.2642159331412542,0.2414934039115905,1.675609489733435,1.2277535949434553,7,105
