target,model,selector,budget,bands,r2_mean,r2_std,rmse_mean,rmse_std,rpd_mean,rpd_std,train_seconds_mean,n_runs
LAI,BeamBudget ResidualMLP,BeamSearch,5,5,0.4653063217798869,0.028205926348023786,1.291320612927121,0.03383164182489492,1.3709093729654949,0.035408424856444284,5.111705880333337,3
LAI,BeamBudget ResidualMLP,BeamSearch,10,10,0.5779935717582703,0.0317659725407012,1.1469347659226266,0.042823779637794726,1.544204870859782,0.05665734722586634,8.817430722000003,3
LAI,BeamBudget ResidualMLP,BeamSearch,20,20,0.5762436787287394,0.004982281566880811,1.1498309616324132,0.006771184098818707,1.538944403330485,0.009093496365309876,8.947767735333324,3
LAI,BeamBudget ResidualMLP,BeamSearch,30,30,0.5843615333239237,0.018824905829332404,1.1385820621371454,0.025819048855859544,1.5546468496322632,0.035335836506537384,11.039949602333385,3
anth,BeamBudget ResidualMLP,BeamSearch,5,5,0.5468794703483582,0.03618652951891911,0.29095206910775334,0.011739414592428634,1.4983197450637817,0.061619255340838584,1.789607040666624,3
anth,BeamBudget ResidualMLP,BeamSearch,10,10,0.5230077902475992,0.09582206153670265,0.29760232462909936,0.031042940194230453,1.4745989243189495,0.16366311767838676,1.4092194160001175,3
anth,BeamBudget ResidualMLP,BeamSearch,20,20,0.6358300050099691,0.08689792434863336,0.2597896002063374,0.030455189723931294,1.6909186045328777,0.18862161962059087,1.4825035546665883,3
anth,BeamBudget ResidualMLP,BeamSearch,30,30,0.6243601044019064,0.06817390041401264,0.26434740548942837,0.023704272463287636,1.655884822209676,0.14387623053534349,1.5105195933333562,3
cab,BeamBudget ResidualMLP,BeamSearch,5,5,0.4763346115748088,0.01841614766266741,9.8108852756761,0.17170382499873263,1.384057919184367,0.02398703298348785,6.149605634000011,3
cab,BeamBudget ResidualMLP,BeamSearch,10,10,0.5291036367416382,0.012767292466464469,9.303824918868571,0.12642088414128755,1.4593747059504192,0.01991938057569308,3.4737926143333198,3
cab,BeamBudget ResidualMLP,BeamSearch,20,20,0.5607546170552572,0.004775833794291524,8.986175985270897,0.04885479954999229,1.5108044942220051,0.008214362588417182,7.179205379000014,3
cab,BeamBudget ResidualMLP,BeamSearch,30,30,0.568115254243215,0.032126268906527464,8.906449250110223,0.3351838198948334,1.525770902633667,0.05868632411949781,5.882985316333323,3
car,BeamBudget ResidualMLP,BeamSearch,5,5,0.3779711127281189,0.006159586761627703,2.2583786748314867,0.011167001962000536,1.2699145873387654,0.006262674396243429,6.8567841540001,3
car,BeamBudget ResidualMLP,BeamSearch,10,10,0.4708501895268758,0.0022681498306951456,2.082973265118916,0.004461561586786199,1.376834789911906,0.002945468836108782,3.7228332549999927,3
car,BeamBudget ResidualMLP,BeamSearch,20,20,0.5053670803705851,0.023870455247828666,2.0134987313746833,0.04884618717645165,1.424902041753133,0.03491979892521272,3.7299515856666403,3
car,BeamBudget ResidualMLP,BeamSearch,30,30,0.4966122309366862,0.03063611587020419,2.031009860984431,0.06187673681249044,1.4129324356714885,0.04311835427186404,4.578988277000008,3
cbc,BeamBudget ResidualMLP,BeamSearch,5,5,0.6445422371228536,0.029225469527116868,0.0038060847201111694,0.00015851681283199796,1.6817570527394612,0.07173654846189365,7.171195157666641,3
cbc,BeamBudget ResidualMLP,BeamSearch,10,10,0.7021035353342692,0.01477949811404607,0.0034856130724445545,8.640208561650129e-05,1.834955096244812,0.04539727710258236,9.188463805999959,3
cbc,BeamBudget ResidualMLP,BeamSearch,20,20,0.7112007737159729,0.02242542693665902,0.0034309757921041077,0.00013250005847994405,1.8652462164560955,0.0711729129015932,12.488260104666665,3
cbc,BeamBudget ResidualMLP,BeamSearch,30,30,0.7111464937527975,0.014052759524554495,0.0034323210149548897,8.383489640885307e-05,1.8634305795033772,0.04586571066639033,11.408751934999978,3
cm,BeamBudget ResidualMLP,BeamSearch,5,5,0.5765109459559122,0.005560708412076651,0.00412384182637101,2.7060072112815216e-05,1.5377751191457112,0.010079619466109994,13.677031395666631,3
cm,BeamBudget ResidualMLP,BeamSearch,10,10,0.6649037996927897,0.02333799353791007,0.0036668450341125307,0.0001290870183177385,1.7308368285497029,0.06217768006783249,22.717368860999994,3
cm,BeamBudget ResidualMLP,BeamSearch,20,20,0.6690819462140402,0.03994653740554679,0.0036411111470092627,0.0002169716938473225,1.7456111510594685,0.10098040489307658,9.296009323000021,3
cm,BeamBudget ResidualMLP,BeamSearch,30,30,0.6753223737080892,0.03496632063882787,0.003607470751692068,0.00019219384251105442,1.7610925038655598,0.09156341954414844,9.348154610666635,3
cp,BeamBudget ResidualMLP,BeamSearch,5,5,0.5997210343678793,0.020644022304010416,0.00027884082859750846,7.15025368966499e-06,1.5830460786819458,0.04011209220365118,11.573507536000003,3
