target,perturbation,level,budget,r2_mean,r2_std,rmse_mean,rpd_mean,n_runs
LAI,band_dropout,0.0,30,0.5843615333239237,0.018824905829332404,1.1385820621371454,1.5546468496322632,3
LAI,band_dropout,0.05,30,0.28382958968480426,0.04296109304107099,1.4943644100507107,1.1848413944244385,3
LAI,band_dropout,0.1,30,-0.039035141468048096,0.119648535790243,1.798576769475205,0.9858850240707397,3
LAI,band_dropout,0.2,30,-0.24970813592274985,0.21117177948406576,1.9699271982290931,0.9025499820709229,3
LAI,band_dropout,0.3,30,-0.6031905810038248,0.20343472521762615,2.2335894338536773,0.7942526936531067,3
cab,band_dropout,0.0,30,0.568115254243215,0.032126268906527464,8.906449250110223,1.525770902633667,3
cab,band_dropout,0.05,30,0.40731223424275714,0.05294880939876497,10.431400571599937,1.3032818237940471,3
cab,band_dropout,0.1,30,0.2793628970781962,0.13627237362242908,11.476453227262846,1.189828912417094,3
cab,band_dropout,0.2,30,-0.0057408809661865234,0.17339579379670303,13.56453439095655,1.0057131449381511,3
cab,band_dropout,0.3,30,-0.08225442965825398,0.24583523570545104,14.040758734891442,0.9764747023582458,3
car,band_dropout,0.0,30,0.4966122309366862,0.03063611587020419,2.031009860984431,1.4129324356714885,3
car,band_dropout,0.05,30,0.3748118082682292,0.0361125429033906,2.2635047452692,1.267702341079712,3
car,band_dropout,0.1,30,0.2632882396380107,0.059673011782910255,2.456459348254645,1.1687369743982952,3
car,band_dropout,0.2,30,0.009372393290201822,0.11254902574225537,2.846934654897453,1.0095868309338887,3
car,band_dropout,0.3,30,-0.20408721764882407,0.04155608519579775,3.141819659378696,0.912993590037028,3
cbc,band_dropout,0.0,30,0.7111464937527975,0.014052759524554495,0.0034323210149548897,1.8634305795033772,3
cbc,band_dropout,0.05,30,0.3551471034685771,0.041968682101166686,0.005127552522350746,1.247765302658081,3
cbc,band_dropout,0.1,30,0.04350525140762329,0.15780320647524584,0.006233303632089838,1.030083696047465,3
cbc,band_dropout,0.2,30,-0.2860306104024251,0.06113701587422494,0.007242363826166626,0.883092204729716,3
cbc,band_dropout,0.3,30,-0.47184956073760986,0.1684250079532954,0.007740621164500886,0.8278835614522299,3
cm,band_dropout,0.0,30,0.6753223737080892,0.03496632063882787,0.003607470751692068,1.7610925038655598,3
cm,band_dropout,0.05,30,0.31192974249521893,0.07602508457903069,0.005251048239267298,1.2102728684743245,3
cm,band_dropout,0.1,30,0.01814726988474528,0.032342938220659805,0.006278716830502195,1.0101610819498699,3
cm,band_dropout,0.2,30,-0.25241343180338544,0.013655068712765683,0.007091803372131354,0.8941993117332458,3
cm,band_dropout,0.3,30,-0.428006370862325,0.12053832894296763,0.007568194677030868,0.8389075795809428,3
cp,band_dropout,0.0,30,0.645281175772349,0.0078078179103270445,0.00026253947217090454,1.6807482639948528,3
cp,band_dropout,0.05,30,0.09749074776967366,0.03673646403685568,0.00041873239605985007,1.054005742073059,3
cp,band_dropout,0.1,30,-0.1763855218887329,0.2155668736488713,0.0004767066022956605,0.9314520756403605,3
cp,band_dropout,0.2,30,-0.42647258440653485,0.13508735646129738,0.0005261203243009232,0.8398365378379822,3
cp,band_dropout,0.3,30,-0.7083300749460856,0.3577381869398147,0.000573960549886536,0.7750136256217957,3
cw,band_dropout,0.0,30,0.6598751942316691,0.022187064320128208,0.005239607869670483,1.718579649925232,3
cw,band_dropout,0.05,30,0.25611599286397296,0.030969712392416516,0.007750439956841444,1.1613099972407024,3
cw,band_dropout,0.1,30,-0.30300947030385333,0.11163321453346049,0.010252722949849231,0.8787449399630228,3
cw,band_dropout,0.2,30,-0.8405348459879557,0.2313577102703277,0.012176439827835395,0.7410344481468201,3
cw,band_dropout,0.3,30,-1.171663522720337,0.4286124519760741,0.01320230241592601,0.685824433962504,3
LAI,gaussian_noise,0.0,30,0.5843615333239237,0.018824905829332404,1.1385820621371454,1.5546468496322632,3
LAI,gaussian_noise,0.01,30,0.5818816423416138,0.0188966029843784,1.141972509336163,1.5500399271647136,3
LAI,gaussian_noise,0.03,30,0.5436350504557291,0.006575102306624564,1.1932447667631239,1.4829697211583455,3
LAI,gaussian_noise,0.05,30,0.514452596505483,0.02976838147802854,1.2304383132358367,1.439005732536316,3
LAI,gaussian_noise,0.1,30,0.3378725051879883,0.07962323375577317,1.4356349902220649,1.2353410323460896,3
cab,gaussian_noise,0.0,30,0.568115254243215,0.032126268906527464,8.906449250110223,1.525770902633667,3
cab,gaussian_noise,0.01,30,0.5672935644785563,0.03063682126349574,8.915317332285587,1.5241122245788574,3
cab,gaussian_noise,0.03,30,0.5581178863843282,0.029292262815017067,9.009885073831521,1.5079106489817302,3
cab,gaussian_noise,0.05,30,0.5489878257115682,0.030470049107461684,9.102305368277696,1.4926784833272297,3
cab,gaussian_noise,0.1,30,0.49539339542388916,0.029498774190556135,9.628894406382676,1.4107609987258911,3
car,gaussian_noise,0.0,30,0.4966122309366862,0.03063611587020419,2.031009860984431,1.4129324356714885,3
