target,budget,seed,method,rank,wavelength_nm,importance,relative_importance,selected_wavelengths
LAI,30,0,GradientInputFallback,1,1222,1.7630608081817627,0.12627707421779633,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,2,990,1.3022215366363525,0.09327002614736557,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,3,746,0.956169843673706,0.06848450005054474,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,4,1340,0.9198898673057556,0.065885990858078,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,5,1066,0.6976250410079956,0.04996654391288757,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,6,1730,0.619467556476593,0.04436860606074333,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,7,1054,0.6103253960609436,0.04371381178498268,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,8,606,0.531668484210968,0.03808010742068291,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,9,531,0.46002650260925293,0.03294883668422699,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,10,663,0.4594656825065613,0.03290867060422897,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,11,1324,0.42918285727500916,0.03073969855904579,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,12,2085,0.40445607900619507,0.028968673199415207,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
LAI,30,0,GradientInputFallback,13,1601,0.4014212489128113,0.028751306235790253,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
