target,model,budget,variant,fwhm_nm,input_features,effective_channels,r2_mean,r2_std,rmse_mean,rmse_std,rpd_mean,rpd_std,train_seconds_mean,raw_r2_mean,delta_r2_vs_raw
LAI,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.5777124365170797,0.007284378616666597,1.1478211851615054,0.009923452046725942,1.5416804552078247,0.013390887934077498,9.043689249999943,0.5762436787287394,0.0014687577883403247
LAI,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.5754852096239725,0.0134905589128504,1.1507765350901609,0.018230048309590536,1.5378998120625813,0.024210140309352087,9.09871329699998,0.5762436787287394,-0.0007584691047668457
LAI,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,15,15,0.549072782198588,0.036819821938996876,1.1854724844382376,0.048548260971357116,1.4943195184071858,0.06149535014986632,7.740574766666668,0.5762436787287394,-0.027170896530151367
LAI,BeamK20_ResidualMLP,20,merged_gaussian_fwhm20,20.0,12,12,0.5651470820109049,0.011903328181502186,1.164729340385481,0.015936933238025083,1.5194136301676433,0.020776033388607243,8.944793986333329,0.5762436787287394,-0.011096596717834473
LAI,BeamK20_ResidualMLP,20,raw_nm,,20,20,0.5762436787287394,0.004982281566880811,1.1498309616324132,0.006771184098818707,1.538944403330485,0.009093496365309876,8.481205857,0.5762436787287394,0.0
anth,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.6324528257052103,0.08659614908027341,0.2610218999385372,0.030203629385297137,1.6825507084528606,0.18518260911604156,1.3886392996667685,0.6358300050099691,-0.0033771793047587817
anth,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.6240866780281067,0.08666409993103148,0.2640290528336397,0.02984829386463973,1.6627010504404705,0.17822743753641296,1.3971376156666035,0.6358300050099691,-0.011743326981862423
anth,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,15,15,0.6233084599177042,0.06517292774544041,0.26477370875517187,0.02277212489824289,1.652636170387268,0.13963247792476557,1.368535710666644,0.6358300050099691,-0.012521545092264885
anth,BeamK20_ResidualMLP,20,merged_gaussian_fwhm20,20.0,12,12,0.63230828444163,0.06722378683509254,0.26151295778958444,0.023830847569120114,1.6742838223775227,0.15062235988690978,1.278066818999984,0.6358300050099691,-0.003521720568339104
anth,BeamK20_ResidualMLP,20,raw_nm,,20,20,0.6358300050099691,0.08689792434863336,0.2597896002063374,0.030455189723931294,1.6909186045328777,0.18862161962059087,1.3507529973333778,0.6358300050099691,0.0
cab,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.5784334937731425,0.010318088137058383,8.803127120009458,0.10771556173356336,1.5423431396484375,0.018864711558548342,7.656940817666737,0.5607546170552572,0.01767887671788526
cab,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.5710199276606241,0.012187702956010116,8.880037852767465,0.12643982201930185,1.529039780298869,0.02186934655709482,6.476457291333342,0.5607546170552572,0.01026531060536695
cab,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,18,18,0.5566732287406921,0.018022742018446954,9.026661662116142,0.1844149925654415,1.5044214725494385,0.031034626420020542,9.433974547333264,0.5607546170552572,-0.00408138831456506
cab,BeamK20_ResidualMLP,20,merged_gaussian_fwhm20,20.0,16,16,0.5519229769706726,0.01725673055351822,9.075044472902077,0.17395055690851607,1.4963432947794597,0.02840726421742633,7.404237185333234,0.5607546170552572,-0.008831640084584591
