target,budget,variant,selected_wavelengths,effective_channels,used_channel_centers_nm,note
cab,20,raw_nm,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611",20,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611",raw selected 1 nm samples
cab,20,gaussian_fwhm10,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611",20,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611","10 nm FWHM, 30 overlapping filters"
cab,20,gaussian_fwhm20,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611",20,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611","20 nm FWHM, 30 overlapping filters"
cab,20,merged_gaussian_fwhm10,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611",18,"424,547,614,645,683,697,716,739,817,841,882,954,1129,1170,1198,1264,1350,1459","10 nm FWHM, centers within 10 nm merged | 424;547;611,618;641,649;683;697;716;739;817;841;882;954;1129;1170;1198;1264;1350;1459"
cab,20,merged_gaussian_fwhm20,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611",16,"424,547,614,645,699,739,817,841,882,954,1129,1170,1198,1264,1350,1459","20 nm FWHM, centers within 20 nm merged | 424;547;611,618;641,649;683,697,716;739;817;841;882;954;1129;1170;1198;1264;1350;1459"
cw,20,raw_nm,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642",20,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642",raw selected 1 nm samples
cw,20,gaussian_fwhm10,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642",20,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642","10 nm FWHM, 30 overlapping filters"
cw,20,gaussian_fwhm20,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642",20,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642","20 nm FWHM, 30 overlapping filters"
cw,20,merged_gaussian_fwhm10,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642",13,"539,585,937,980,1106,1184,1293,1434,1545,1600,1647,1666,1701","10 nm FWHM, centers within 10 nm merged | 539;585;937;980;1106;1184;1289,1297;1434;1545;1591,1597,1602,1609;1642,1652;1664,1668;1697,1705"
cw,20,merged_gaussian_fwhm20,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642",12,"539,585,937,980,1106,1184,1293,1434,1545,1600,1656,1701","20 nm FWHM, centers within 20 nm merged | 539;585;937;980;1106;1184;1289,1297;1434;1545;1591,1597,1602,1609;1642,1652,1664,1668;1697,1705"
cm,20,raw_nm,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166",20,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166",raw selected 1 nm samples
cm,20,gaussian_fwhm10,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166",20,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166","10 nm FWHM, 30 overlapping filters"
cm,20,gaussian_fwhm20,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166",20,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166","20 nm FWHM, 30 overlapping filters"
cm,20,merged_gaussian_fwhm10,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166",16,"484,510,660,699,990,1081,1300,1332,1559,1574,1647,1667,1693,1715,1733,2167","10 nm FWHM, centers within 10 nm merged | 484;510;660;699;987,992;1081;1300;1332;1559;1574;1647;1667;1693;1715;1728,1734,1738;2166,2168"
cm,20,merged_gaussian_fwhm20,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166",13,"484,510,660,699,990,1081,1300,1332,1566,1657,1693,1729,2167","20 nm FWHM, centers within 20 nm merged | 484;510;660;699;987,992;1081;1300;1332;1559,1574;1647,1667;1693;1715,1728,1734,1738;2166,2168"
LAI,20,raw_nm,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654",20,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654",raw selected 1 nm samples
LAI,20,gaussian_fwhm10,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654",20,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654","10 nm FWHM, 30 overlapping filters"
LAI,20,gaussian_fwhm20,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654",20,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654","20 nm FWHM, 30 overlapping filters"
LAI,20,merged_gaussian_fwhm10,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654",15,"531,606,656,681,705,746,990,1054,1066,1222,1324,1340,1601,1730,2055","10 nm FWHM, centers within 10 nm merged | 531;606;649,651,653,654,663,666;681;705;746;990;1054;1066;1222;1324;1340;1601;1730;2055"
LAI,20,merged_gaussian_fwhm20,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654",12,"531,606,660,705,746,990,1060,1222,1332,1601,1730,2055","20 nm FWHM, centers within 20 nm merged | 531;606;649,651,653,654,663,666,681;705;746;990;1054,1066;1222;1324,1340;1601;1730;2055"
