target,model,n_indices,train_rows,test_rows,rmse,mae,r2,rpd
LAI,VI_RandomForest,15,1165,284,1.268748916931413,0.9722380244349614,0.48407145886989644,1.3946691751480103
LAI,VI_Ridge,15,1165,284,1.3981064132798724,1.1151909828186035,0.37350350618362427,1.265629529953003
anth,VI_RandomForest,15,289,73,0.34248698362332053,0.235219762698335,0.37282621135988037,1.2714556455612183
anth,VI_Ridge,15,289,73,0.3208940971206355,0.22317661345005035,0.44941645860671997,1.3570116758346558
cab,VI_RandomForest,15,1609,396,8.60459988766663,6.342213443533909,0.5972735710975559,1.5777709484100342
cab,VI_Ridge,15,1609,396,9.805374182253521,7.243835926055908,0.47702956199645996,1.3845558166503906
car,VI_RandomForest,15,1335,325,1.9850998938471032,1.4080902172832257,0.5194101080615432,1.444713830947876
car,VI_Ridge,15,1335,325,2.198408773813411,1.5654969215393066,0.41057735681533813,1.3045350313186646
cbc,VI_RandomForest,15,2203,555,0.004429756141960174,0.0026175667051063067,0.5190623357985643,1.4432687759399414
cbc,VI_Ridge,15,2203,555,0.005238779115339229,0.0035989705938845873,0.3273497223854065,1.2203853130340576
cm,VI_RandomForest,15,2944,736,0.004394572486479635,0.0026141869949883314,0.5190953428793634,1.4429980516433716
cm,VI_Ridge,15,2944,736,0.005322010603971956,0.0036641969345510006,0.29469460248947144,1.1915345191955566
cp,VI_RandomForest,15,2203,555,0.000315922510913265,0.00019859489697512153,0.48640494486518837,1.3966293334960938
cp,VI_Ridge,15,2203,555,0.0003713859759933741,0.000251742108957842,0.29024142026901245,1.1880542039871216
cw,VI_RandomForest,15,1676,424,0.006049169330232808,0.003919751033438616,0.5469787372963314,1.4874879121780396
cw,VI_Ridge,15,1676,424,0.007315930007645112,0.005185380112379789,0.33737748861312866,1.229927897453308
