model,target_calibration_percent,n_evaluations,mean_calibration_rows,median_calibration_rows,min_calibration_rows,max_calibration_rows,mean_test_rows,median_test_rows,min_test_rows,max_test_rows,mean_r2,median_r2,mean_rpd
BeamK30 ResidualMLP,0,105,0.0,0.0,0,0,227.6,178.0,91,363,-0.5038646811530704,-0.1555756330490112,0.9636542147114163
BeamK30 ResidualMLP,5,105,11.228571428571428,9.0,5,18,216.37142857142857,169.0,86,345,-0.05560654969442459,0.0343706011772155,1.0567751447359721
BeamK30 ResidualMLP,10,105,22.714285714285715,18.0,9,36,204.88571428571427,160.0,82,327,0.15457617214747837,0.1241166591644287,1.1434123572849093
BeamK30 ResidualMLP,20,105,45.48571428571429,36.0,18,73,182.11428571428573,142.0,73,290,0.23708234684807913,0.2254596352577209,1.1948315200351534
BeamK30 ResidualMLP,30,105,68.25714285714285,53.0,27,109,159.34285714285716,125.0,64,254,0.24091235456012544,0.2351894974708557,1.1984887497765677
BeamK30 ResidualMLP,40,105,91.05714285714286,71.0,36,145,136.54285714285714,107.0,55,218,0.2548081454776582,0.2081696987152099,1.210891052087148
BeamK30 ResidualMLP,50,105,113.85714285714286,89.0,46,182,113.74285714285715,89.0,45,181,0.24950947080339705,0.2165444493293762,1.2144195170629593
Hybrid Cross-Gated NAM,0,105,0.0,0.0,0,0,227.6,178.0,91,363,-0.5199965726761591,-0.046422004699707,0.9777368690286364
Hybrid Cross-Gated NAM,5,105,11.228571428571428,9.0,5,18,216.37142857142857,169.0,86,345,0.027154049419221424,0.0380032062530517,1.0909229136648633
Hybrid Cross-Gated NAM,10,105,22.714285714285715,18.0,9,36,204.88571428571427,160.0,82,327,0.17166304474785216,0.1912473440170288,1.1526873668034872
Hybrid Cross-Gated NAM,20,105,45.48571428571429,36.0,18,73,182.11428571428573,142.0,73,290,0.2532139738400777,0.2596786618232727,1.2106894930203755
Hybrid Cross-Gated NAM,30,105,68.25714285714285,53.0,27,109,159.34285714285716,125.0,64,254,0.252463199978783,0.2569339275360107,1.2092197736104329
Hybrid Cross-Gated NAM,40,105,91.05714285714286,71.0,36,145,136.54285714285714,107.0,55,218,0.2595034752573286,0.2655231952667236,1.2220986831755865
Hybrid Cross-Gated NAM,50,105,113.85714285714286,89.0,46,182,113.74285714285715,89.0,45,181,0.2642159331412542,0.2414934039115905,1.2277535949434553
