model,target,target_calibration_percent,n_evaluations,mean_calibration_rows,median_calibration_rows,min_calibration_rows,max_calibration_rows,mean_test_rows,mean_r2,median_r2
BeamK30 ResidualMLP,LAI,0,15,0.0,0.0,0,0,190.2,-0.15486075480779013,-0.1185355186462402
BeamK30 ResidualMLP,LAI,5,15,9.6,8.0,5,18,180.6,-0.3595304012298584,-0.1442275047302246
BeamK30 ResidualMLP,LAI,10,15,19.0,16.0,9,36,171.2,0.02417784531911215,-0.010469913482666
BeamK30 ResidualMLP,LAI,20,15,38.2,32.0,18,73,152.0,0.10562670230865479,-0.0055999755859375
BeamK30 ResidualMLP,LAI,30,15,57.0,47.0,27,109,133.2,0.11433460315068564,-0.0135419368743896
BeamK30 ResidualMLP,LAI,40,15,75.8,63.0,36,145,114.4,0.10910359223683672,0.0527893304824829
BeamK30 ResidualMLP,LAI,50,15,95.2,79.0,46,182,95.0,0.11781243085861205,0.0479743480682373
BeamK30 ResidualMLP,cab,0,15,0.0,0.0,0,0,204.6,0.0004940072695414378,-0.040271520614624
BeamK30 ResidualMLP,cab,5,15,10.0,8.0,7,18,194.6,-0.04629789590835573,0.1180965304374694
BeamK30 ResidualMLP,cab,10,15,20.4,17.0,15,36,184.2,0.13743408123652137,0.2149388194084167
BeamK30 ResidualMLP,cab,20,15,40.8,33.0,30,72,163.8,0.21777147452036535,0.2553709745407104
BeamK30 ResidualMLP,cab,30,15,61.6,50.0,45,109,143.0,0.2216302394866943,0.2529500126838684
BeamK30 ResidualMLP,cab,40,15,82.0,67.0,60,145,122.6,0.22963529427846266,0.2081696987152099
BeamK30 ResidualMLP,cab,50,15,102.2,84.0,74,181,102.4,0.21678555011749268,0.2588534355163574
BeamK30 ResidualMLP,car,0,15,0.0,0.0,0,0,204.2,-1.591321635246277,-1.3875434398651123
BeamK30 ResidualMLP,car,5,15,10.0,8.0,7,18,194.2,-0.28173577388127646,-0.0425471067428588
BeamK30 ResidualMLP,car,10,15,20.4,17.0,15,36,183.8,0.1074728687604268,0.1241166591644287
BeamK30 ResidualMLP,car,20,15,40.6,33.0,29,72,163.6,0.14802263180414835,0.0613649487495422
BeamK30 ResidualMLP,car,30,15,61.4,50.0,44,109,142.8,0.1621597051620483,0.1112379431724548
BeamK30 ResidualMLP,car,40,15,81.8,67.0,59,145,122.4,0.19590595165888466,0.1669864654541015
BeamK30 ResidualMLP,car,50,15,102.2,84.0,74,181,102.0,0.1991763869921366,0.1686850190162658
BeamK30 ResidualMLP,cbc,0,15,0.0,0.0,0,0,230.0,-0.3880622665087382,0.3052393794059753
BeamK30 ResidualMLP,cbc,5,15,11.4,9.0,8,16,218.6,-0.028213095664978014,-0.140071153640747
BeamK30 ResidualMLP,cbc,10,15,23.0,18.0,17,33,207.0,0.1492159843444824,0.0431061387062072
BeamK30 ResidualMLP,cbc,20,15,46.0,36.0,33,66,184.0,0.27485959132512405,0.2574723958969116
BeamK30 ResidualMLP,cbc,30,15,68.8,53.0,50,99,161.2,0.23851488431294757,0.1640956401824951
BeamK30 ResidualMLP,cbc,40,15,92.0,71.0,67,132,138.0,0.2844934582710266,0.1986554265022277
BeamK30 ResidualMLP,cbc,50,15,115.2,89.0,84,165,114.8,0.27415530681610106,0.2285831570625305
BeamK30 ResidualMLP,cm,0,15,0.0,0.0,0,0,295.8,-0.18498762051264445,0.3852829933166504
BeamK30 ResidualMLP,cm,5,15,14.6,15.0,9,18,281.2,0.13755953311920166,0.123771846294403
BeamK30 ResidualMLP,cm,10,15,29.4,30.0,18,36,266.4,0.23048021793365478,0.4267818331718445
BeamK30 ResidualMLP,cm,20,15,59.2,61.0,36,72,236.6,0.30939136346181234,0.4567005634307861
BeamK30 ResidualMLP,cm,30,15,88.6,91.0,54,108,207.2,0.33671922286351524,0.5386444330215454
BeamK30 ResidualMLP,cm,40,15,118.4,122.0,72,144,177.4,0.33830849329630536,0.4178255200386047
BeamK30 ResidualMLP,cm,50,15,147.8,152.0,90,180,148.0,0.3467713832855225,0.5406110286712646
BeamK30 ResidualMLP,cp,0,15,0.0,0.0,0,0,230.0,-0.37463236252466836,-0.2953917980194092
BeamK30 ResidualMLP,cp,5,15,11.4,9.0,8,16,218.6,0.12713131109873455,0.1028226017951965
BeamK30 ResidualMLP,cp,10,15,23.0,18.0,17,33,207.0,0.14207364718119303,0.1553801298141479
BeamK30 ResidualMLP,cp,20,15,46.0,36.0,33,66,184.0,0.26906983852386473,0.3093618750572204
BeamK30 ResidualMLP,cp,30,15,68.8,53.0,50,99,161.2,0.29125932852427167,0.3658372759819031
BeamK30 ResidualMLP,cp,40,15,92.0,71.0,67,132,138.0,0.28435187737147005,0.2758635282516479
BeamK30 ResidualMLP,cp,50,15,115.2,89.0,84,165,114.8,0.26800058285395306,0.2850591540336609
BeamK30 ResidualMLP,cw,0,15,0.0,0.0,0,0,238.4,-0.833682135740916,-0.0023657083511352
BeamK30 ResidualMLP,cw,5,15,11.6,8.0,8,18,226.8,0.061840474605560275,0.1124200224876403
BeamK30 ResidualMLP,cw,10,15,23.8,17.0,16,36,214.6,0.291178560256958,0.3866381049156189
BeamK30 ResidualMLP,cw,20,15,47.6,34.0,33,72,190.8,0.33483482599258424,0.3222386837005615
BeamK30 ResidualMLP,cw,30,15,71.6,51.0,50,108,166.8,0.32176849842071525,0.3299866914749145
BeamK30 ResidualMLP,cw,40,15,95.4,68.0,66,144,143.0,0.34185835123062136,0.3917566537857055
BeamK30 ResidualMLP,cw,50,15,119.2,85.0,82,180,119.2,0.32386465469996134,0.4186204671859741
Hybrid Cross-Gated NAM,LAI,0,15,0.0,0.0,0,0,190.2,-0.011395136515299479,-0.046422004699707
Hybrid Cross-Gated NAM,LAI,5,15,9.6,8.0,5,18,180.6,-0.2316181778907776,-0.1430591344833374
Hybrid Cross-Gated NAM,LAI,10,15,19.0,16.0,9,36,171.2,0.12043912808100384,0.0077950954437255
Hybrid Cross-Gated NAM,LAI,20,15,38.2,32.0,18,73,152.0,0.1427399754524231,0.0700842142105102
Hybrid Cross-Gated NAM,LAI,30,15,57.0,47.0,27,109,133.2,0.1387864351272583,0.0646333694458007
Hybrid Cross-Gated NAM,LAI,40,15,75.8,63.0,36,145,114.4,0.12977582613627117,0.0970878601074218
Hybrid Cross-Gated NAM,LAI,50,15,95.2,79.0,46,182,95.0,0.1478018999099731,0.049014389514923
