target,selector,model,budget,bands,label_fraction,label_percent,train_subset_rows_mean,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,rpd_mean,rpd_std,best_epoch_mean
LAI,BeamSearch,TorchMLP,30,30,0.1,10,116.0,1.5289916570450237,0.0372223604114967,1.249102274576823,0.0250201498007087,0.2504165967305501,0.0366364529876662,1.1577424208323162,0.0279538653129583,30.33333333333333
LAI,BeamSearch,TorchMLP,30,30,0.25,25,291.0,1.36859109254308,0.0314489597699337,1.0762747526168823,0.0423864663363209,0.3994648059209187,0.0277109845112316,1.2933758894602458,0.0294669053110697,110.66666666666669
LAI,BeamSearch,TorchMLP,30,30,0.5,50,582.0,1.3010210481772355,0.0523872848953924,0.9816996653874716,0.0348501437092792,0.4569047292073567,0.043670673522415,1.3615479469299316,0.054923949965606,341.0
LAI,BeamSearch,TorchMLP,30,30,1.0,100,1165.0,1.2123583034873675,0.0195196273652865,0.916240374247233,0.0205589598705419,0.5288326342900594,0.0151832305429729,1.4597913424173992,0.0234642388444286,560.6666666666666
anth,BeamSearch,TorchMLP,30,30,0.1,10,29.0,0.4782490073829232,0.1229321675384562,0.3061489363511403,0.0604887431904795,-0.2768168449401855,0.6131060543529,0.9559265971183776,0.2672101290872056,90.66666666666669
anth,BeamSearch,TorchMLP,30,30,0.25,25,72.0,0.3979524403948514,0.0068743991439727,0.2750858763853709,0.0140454218066163,0.1530681053797404,0.0293535384926846,1.094460169474284,0.0187810800901148,188.66666666666663
anth,BeamSearch,TorchMLP,30,30,0.5,50,144.0,0.3210374238936975,0.0217913032788553,0.2104032387336095,0.0086385111098471,0.4472318490346272,0.0737861152677434,1.3607072830200195,0.0950926331729987,271.0
anth,BeamSearch,TorchMLP,30,30,1.0,100,289.0,0.249933579447122,0.0085464361034343,0.1876173218091329,0.0037316006275372,0.6657377084096273,0.0226270871522277,1.7436763842900591,0.0607734403871733,374.3333333333333
cab,BeamSearch,TorchMLP,30,30,0.1,10,161.0,10.748379201307422,0.197250469020439,8.24609661102295,0.3405621118144465,0.3714609742164612,0.0229551620503782,1.2633686860402424,0.0234072041661595,51.333333333333336
cab,BeamSearch,TorchMLP,30,30,0.25,25,402.0,9.940033520429038,0.4549506438176474,7.506497701009114,0.4047314396686113,0.4618162314097087,0.0497715169883976,1.3676657279332478,0.0611831452968178,124.66666666666669
cab,BeamSearch,TorchMLP,30,30,0.5,50,804.0,9.643672162572386,0.2403033487151944,7.142699559529622,0.2345153133124696,0.493926743666331,0.0253791838753558,1.4083469311396282,0.034631788234946,105.0
cab,BeamSearch,TorchMLP,30,30,1.0,100,1609.0,8.85296727296361,0.3486609096009041,6.413774649302165,0.2828087852694894,0.5732482075691223,0.0332430226338183,1.5351271231969197,0.061706353325059,271.6666666666667
car,BeamSearch,TorchMLP,30,30,0.1,10,134.0,2.441861825988331,0.1572003264531571,1.80468225479126,0.1048295445659715,0.2707937359809875,0.093801405705113,1.1777208646138508,0.0757232183836085,76.66666666666667
car,BeamSearch,TorchMLP,30,30,0.25,25,334.0,2.267731331889928,0.1508839948615466,1.616482694943746,0.1351024217565576,0.3709676464398702,0.0850216249703231,1.268264849980672,0.0813498375445822,119.0
car,BeamSearch,TorchMLP,30,30,0.5,50,668.0,2.13580318773778,0.0118569425845535,1.5083320538202922,0.0086044943328216,0.4436586896578471,0.0061767863016601,1.3428017298380537,0.0074550929522806,245.33333333333331
car,BeamSearch,TorchMLP,30,30,1.0,100,1335.0,2.0051512834942598,0.0086971359637717,1.395354191462199,0.0129007217467674,0.5096460382143656,0.0042493102843574,1.4302847782770791,0.0062165826987772,321.6666666666667
cbc,BeamSearch,TorchMLP,30,30,0.1,10,220.0,0.004530949486856,0.0001810667972845,0.0027885264717042,0.0002114759747429,0.4963026046752929,0.0403604627646101,1.4125290711720784,0.0560894696692513,318.3333333333333
cbc,BeamSearch,TorchMLP,30,30,0.25,25,551.0,0.0041873761818579,0.0003768316350312,0.0025283979872862,0.0001439662230998,0.5679325064023336,0.0762468220411855,1.535362720489502,0.1426800722360871,416.0
cbc,BeamSearch,TorchMLP,30,30,0.5,50,1102.0,0.0038157459354683,0.0001676307880961,0.0023656510747969,4.429347639146776e-05,0.6426889499028524,0.0309685311248675,1.677725315093994,0.075567376216913,247.33333333333331
cbc,BeamSearch,TorchMLP,30,30,1.0,100,2203.0,0.0034972484954957,2.925652935613053e-05,0.0021505589441706,1.0183397847046308e-05,0.7002201676368713,0.0050032914939228,1.828188260396321,0.0153680938081039,428.3333333333333
cm,BeamSearch,TorchMLP,30,30,0.1,10,294.0,0.0044731248653047,0.0003577151471421,0.0027924592917164,0.0001498831945135,0.4996252059936523,0.0786953749162607,1.4238954385121665,0.1170865261241529,274.6666666666667
cm,BeamSearch,TorchMLP,30,30,0.25,25,736.0,0.0041618641927705,0.0001122315186736,0.0026004067622125,5.9868171415048446e-05,0.5684690078099569,0.0232136481735111,1.5244248708089192,0.0412986276573139,377.0
cm,BeamSearch,TorchMLP,30,30,0.5,50,1472.0,0.0039040948174627,0.0001776809530185,0.0023756620939821,4.664330438169207e-05,0.6199281414349874,0.0349390597960453,1.6264808575312295,0.0724056864731393,380.3333333333333
cm,BeamSearch,TorchMLP,30,30,1.0,100,2944.0,0.0036587357944228,5.8987037982331496e-05,0.0022413410867253,6.386427480744462e-05,0.6666019360224406,0.0106998804325423,1.7335137526194255,0.0282028783681776,578.6666666666666
