target,region,selected_band_count
LAI,blue_green_pigments_400_570,1
LAI,nir_structure_740_930,1
LAI,nir_swir_transition_1230_1400,2
LAI,other,1
LAI,red_chlorophyll_630_690,11
LAI,red_edge_690_740,1
LAI,swir_biochemical_1500_1800,2
LAI,swir_water_biochemical_1900_2200,7
LAI,water_nir_930_1230,4
anth,blue_green_pigments_400_570,14
anth,nir_structure_740_930,1
anth,nir_swir_transition_1230_1400,2
anth,other,1
anth,red_chlorophyll_630_690,4
anth,red_edge_690_740,3
anth,swir_water_1400_1500,3
anth,water_nir_930_1230,2
cab,blue_green_pigments_400_570,3
cab,nir_structure_740_930,3
cab,nir_swir_transition_1230_1400,2
cab,other,3
cab,red_chlorophyll_630_690,4
cab,red_edge_690_740,6
cab,swir_water_1400_1500,3
cab,water_nir_930_1230,6
car,blue_green_pigments_400_570,10
car,nir_structure_740_930,1
car,nir_swir_transition_1230_1400,2
car,other,3
car,red_chlorophyll_630_690,4
car,red_edge_690_740,1
car,swir_water_1400_1500,6
car,water_nir_930_1230,3
cbc,blue_green_pigments_400_570,3
cbc,nir_swir_transition_1230_1400,3
cbc,other,1
cbc,red_chlorophyll_630_690,2
cbc,red_edge_690_740,1
cbc,swir_biochemical_1500_1800,14
cbc,swir_water_1400_1500,1
cbc,swir_water_biochemical_1900_2200,2
cbc,water_nir_930_1230,3
cm,blue_green_pigments_400_570,2
cm,nir_swir_transition_1230_1400,2
cm,red_chlorophyll_630_690,1
cm,red_edge_690_740,1
cm,swir_biochemical_1500_1800,16
cm,swir_water_biochemical_1900_2200,4
cm,water_nir_930_1230,4
cp,blue_green_pigments_400_570,8
cp,nir_structure_740_930,1
cp,nir_swir_transition_1230_1400,2
cp,other,2
cp,red_chlorophyll_630_690,6
cp,red_edge_690_740,1
cp,swir_biochemical_1500_1800,7
cp,water_nir_930_1230,3
cw,blue_green_pigments_400_570,1
cw,nir_swir_transition_1230_1400,2
cw,other,1
cw,swir_biochemical_1500_1800,21
cw,swir_water_1400_1500,1
cw,water_nir_930_1230,4
