trait,group,method,bands,rmse,mae,r2,rpd
cab,Best full-spectrum,Ridge,1721,9.210225965148824,6.959131717681885,0.5385874509811401,1.4740233421325684
cab,Beam K=30 + PLSR,PLSR,30,9.332314796845244,7.045063025235594,0.5262736632219264,1.454739689826965
cab,Beam K=30 + KAN,KAN,30,9.37710303560391,6.839707374572754,0.5217156410217285,1.447791337966919
cab,Best Beam K=30 regressor,MLP,30,8.587540370174397,6.201157093048096,0.5988688468933105,1.580905199050903
cw,Best full-spectrum,XGBoost,1721,0.0060674459870698,0.0039179595187306,0.5442371368408203,1.4830071926116943
cw,Beam K=30 + PLSR,PLSR,30,0.0064647487855941,0.0045934019087563,0.4825952521917066,1.3918663263320925
cw,Beam K=30 + KAN,KAN,30,0.0061694538215566,0.0040621166117489,0.5287834405899048,1.4584866762161257
cw,Best Beam K=30 regressor,MLP,30,0.0059846205457898,0.0042351055890321,0.5565952062606812,1.503531575202942
cm,Best full-spectrum,XGBoost,1721,0.0041189574619447,0.0024912622757256,0.5775256752967834,1.539554476737976
cm,Beam K=30 + PLSR,PLSR,30,0.0045398907862175,0.0031996712947352,0.4867646885767706,1.3968088626861572
cm,Beam K=30 + KAN,KAN,30,0.0042518623679923,0.002546636853367,0.5498221516609192,1.4914309978485107
cm,Best Beam K=30 regressor,MLP,30,0.0039799355591938,0.002530877944082,0.6055629253387451,1.5933321714401243
