trait,group,method,budget,rmse,mae,r2,rpd
cab,Best full-spectrum,Ridge,1721,9.210225965148824,6.959131717681885,0.5385874509811401,1.4740233421325684
cab,Best compact,BeamSearch+PLSR,30,9.332314796845244,7.045063025235594,0.5262736632219264,1.454739689826965
cab,Beam K=20,BeamSearch+PLSR,20,9.359514844077047,7.073207297711261,0.5235081850022935,1.4505119323730469
cab,Beam K=30,BeamSearch+PLSR,30,9.332314796845244,7.045063025235594,0.5262736632219264,1.454739689826965
cw,Best full-spectrum,XGBoost,1721,0.0060674459870698,0.0039179595187306,0.5442371368408203,1.4830071926116943
cw,Best compact,BeamSearch+PLSR,30,0.0064647487855941,0.0045934019087563,0.4825952521917066,1.3918663263320925
cw,Beam K=20,BeamSearch+PLSR,20,0.0065086841085548,0.0046223333176462,0.4755386467379664,1.3824708461761477
cw,Beam K=30,BeamSearch+PLSR,30,0.0064647487855941,0.0045934019087563,0.4825952521917066,1.3918663263320925
cm,Best full-spectrum,XGBoost,1721,0.0041189574619447,0.0024912622757256,0.5775256752967834,1.539554476737976
cm,Best compact,BeamSearch+PLSR,30,0.0045398907862175,0.0031996712947352,0.4867646885767706,1.3968088626861572
cm,Beam K=20,BeamSearch+PLSR,20,0.0045742469441668,0.0032309342507091,0.4789673589149698,1.3863176107406616
cm,Beam K=30,BeamSearch+PLSR,30,0.0045398907862175,0.0031996712947352,0.4867646885767706,1.3968088626861572
