target,selector,model,budget,bands,label_fraction,label_percent,train_subset_rows_mean,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,rpd_mean,rpd_std,best_epoch_mean
LAI,BeamSearch,TorchMLP,30,30,0.1,10,116.0,1.5289916570450235,0.03722236041149677,1.249102274576823,0.025020149800708723,0.2504165967305501,0.03663645298766625,1.1577424208323162,0.027953865312958386,30.333333333333332
LAI,BeamSearch,TorchMLP,30,30,0.25,25,291.0,1.36859109254308,0.03144895976993376,1.0762747526168823,0.04238646633632094,0.39946480592091876,0.027710984511231624,1.2933758894602458,0.029466905311069765,110.66666666666667
LAI,BeamSearch,TorchMLP,30,30,0.5,50,582.0,1.3010210481772357,0.05238728489539249,0.9816996653874716,0.034850143709279253,0.45690472920735675,0.04367067352241508,1.3615479469299316,0.05492394996560609,341.0
LAI,BeamSearch,TorchMLP,30,30,1.0,100,1165.0,1.2123583034873677,0.01951962736528651,0.916240374247233,0.020558959870541998,0.5288326342900594,0.015183230542972933,1.4597913424173992,0.023464238844428616,560.6666666666666
anth,BeamSearch,TorchMLP,30,30,0.1,10,29.0,0.47824900738292325,0.12293216753845627,0.3061489363511403,0.06048874319047953,-0.27681684494018555,0.6131060543529,0.9559265971183777,0.26721012908720565,90.66666666666667
anth,BeamSearch,TorchMLP,30,30,0.25,25,72.0,0.3979524403948514,0.0068743991439727155,0.2750858763853709,0.014045421806616365,0.1530681053797404,0.029353538492684607,1.094460169474284,0.01878108009011485,188.66666666666666
anth,BeamSearch,TorchMLP,30,30,0.5,50,144.0,0.32103742389369755,0.02179130327885532,0.21040323873360953,0.008638511109847173,0.44723184903462726,0.07378611526774348,1.3607072830200195,0.09509263317299876,271.0
anth,BeamSearch,TorchMLP,30,30,1.0,100,289.0,0.249933579447122,0.008546436103434318,0.1876173218091329,0.0037316006275372672,0.6657377084096273,0.022627087152227766,1.7436763842900593,0.0607734403871733,374.3333333333333
cab,BeamSearch,TorchMLP,30,30,0.1,10,161.0,10.748379201307422,0.197250469020439,8.24609661102295,0.34056211181444657,0.3714609742164612,0.022955162050378213,1.2633686860402424,0.023407204166159525,51.333333333333336
cab,BeamSearch,TorchMLP,30,30,0.25,25,402.0,9.940033520429038,0.4549506438176474,7.506497701009114,0.4047314396686113,0.4618162314097087,0.04977151698839769,1.3676657279332478,0.061183145296817884,124.66666666666667
